a ㄚ
lengqqq ㄌㄥˇ
lengqqqq ㄌㄥˋ
lengqqqqq ㄌㄥ˙
ler ㄌㄦ
lerq ㄌㄦˉ
lerqq ㄌㄦˊ
lerqqq ㄌㄦˇ
lerqqqq ㄌㄦˋ
lerqqqqq ㄌㄦ˙
li ㄌㄧ
liq ㄌㄧˉ
liqq ㄌㄧˊ
liqqq ㄌㄧˇ
liqqqq ㄌㄧˋ
liqqqqq ㄌㄧ˙
lia ㄌㄧㄚ
liaq ㄌㄧㄚˉ
liaqq ㄌㄧㄚˊ
liaqqq ㄌㄧㄚˇ
liaqqqq ㄌㄧㄚˋ
liaqqqqq ㄌㄧㄚ˙
lian ㄌㄧㄢ
lianq ㄌㄧㄢˉ
lianqq ㄌㄧㄢˊ
lianqqq ㄌㄧㄢˇ
lianqqqq ㄌㄧㄢˋ
lianqqqqq ㄌㄧㄢ˙
liang ㄌㄧㄤ
liangq ㄌㄧㄤˉ
liangqq ㄌㄧㄤˊ
liangqqq ㄌㄧㄤˇ
liangqqqq ㄌㄧㄤˋ
liangqqqqq ㄌㄧㄤ˙
liao ㄌㄧㄠ
liaoq ㄌㄧㄠˉ
liaoqq ㄌㄧㄠˊ
liaoqqq ㄌㄧㄠˇ
liaoqqqq ㄌㄧㄠˋ
liaoqqqqq ㄌㄧㄠ˙
lie ㄌㄧㄝ
lieq ㄌㄧㄝˉ
lieqq ㄌㄧㄝˊ
lieqqq ㄌㄧㄝˇ
lieqqqq ㄌㄧㄝˋ
lieqqqqq ㄌㄧㄝ˙
lin ㄌㄧㄣ
linq ㄌㄧㄣˉ
linqq ㄌㄧㄣˊ
linqqq ㄌㄧㄣˇ
linqqqq ㄌㄧㄣˋ
linqqqqq ㄌㄧㄣ˙
ling ㄌㄧㄥ
lingq ㄌㄧㄥˉ
lingqq ㄌㄧㄥˊ
lingqqq ㄌㄧㄥˇ
lingqqqq ㄌㄧㄥˋ
lingqqqqq ㄌㄧㄥ˙
liong ㄌㄩㄥ
liongq ㄌㄩㄥˉ
liongqq ㄌㄩㄥˊ
liongqqq ㄌㄩㄥˇ
liongqqqq ㄌㄩㄥˋ
liongqqqqq ㄌㄩㄥ˙
liou ㄌㄧㄡ
liouq ㄌㄧㄡˉ
liouqq ㄌㄧㄡˊ
liouqqq ㄌㄧㄡˇ
liouqqqq ㄌㄧㄡˋ
liouqqqqq ㄌㄧㄡ˙
liu ㄌㄧㄡ
liuq ㄌㄧㄡˉ
liuqq ㄌㄧㄡˊ
liuqqq ㄌㄧㄡˇ
liuqqqq ㄌㄧㄡˋ
liuqqqqq ㄌㄧㄡ˙
liung ㄌㄩㄥ
liungq ㄌㄩㄥˉ
liungqq ㄌㄩㄥˊ
liungqqq ㄌㄩㄥˇ
liungqqqq ㄌㄩㄥˋ
liungqqqqq ㄌㄩㄥ˙
lo ㄌㄛ
loq ㄌㄛˉ
loqq ㄌㄛˊ
loqqq ㄌㄛˇ
loqqqq ㄌㄛˋ
loqqqqq ㄌㄛ˙
long ㄌㄨㄥ
longq ㄌㄨㄥˉ
longqq ㄌㄨㄥˊ
longqqq ㄌㄨㄥˇ
longqqqq ㄌㄨㄥˋ
longqqqqq ㄌㄨㄥ˙
lou ㄌㄡ
louq ㄌㄡˉ
louqq ㄌㄡˊ
louqqq ㄌㄡˇ
louqqqq ㄌㄡˋ
louqqqqq ㄌㄡ˙
lu ㄌㄨ
luq ㄌㄨˉ
luqq ㄌㄨˊ
luqqq ㄌㄨˇ
luqqqq ㄌㄨˋ
luqqqqq ㄌㄨ˙
lua ㄌㄨㄚ
luaq ㄌㄨㄚˉ
luaqq ㄌㄨㄚˊ
luaqqq ㄌㄨㄚˇ
luaqqqq ㄌㄨㄚˋ
luaqqqqq ㄌㄨㄚ˙
luai ㄌㄨㄞ
luaiq ㄌㄨㄞˉ
luaiqq ㄌㄨㄞˊ
luaiqqq ㄌㄨㄞˇ
luaiqqqq ㄌㄨㄞˋ
luaiqqqqq ㄌㄨㄞ˙
luan ㄌㄨㄢ
luanq ㄌㄨㄢˉ
luanqq ㄌㄨㄢˊ
luanqqq ㄌㄨㄢˇ
luanqqqq ㄌㄨㄢˋ
luanqqqqq ㄌㄨㄢ˙
luang ㄌㄨㄤ
luangq ㄌㄨㄤˉ
luangqq ㄌㄨㄤˊ
luangqqq ㄌㄨㄤˇ
luangqqqq ㄌㄨㄤˋ
luangqqqqq ㄌㄨㄤ˙
lue ㄌㄩㄝ
lueq ㄌㄩㄝˉ
lueqq ㄌㄩㄝˊ
lueqqq ㄌㄩㄝˇ
lueqqqq ㄌㄩㄝˋ
lueqqqqq ㄌㄩㄝ˙
lui ㄌㄨㄟ
luiq ㄌㄨㄟˉ
luiqq ㄌㄨㄟˊ
luiqqq ㄌㄨㄟˇ
luiqqqq ㄌㄨㄟˋ
luiqqqqq ㄌㄨㄟ˙
lun ㄌㄨㄣ
lunq ㄌㄨㄣˉ
lunqq ㄌㄨㄣˊ
lunqqq ㄌㄨㄣˇ
lunqqqq ㄌㄨㄣˋ
lunqqqqq ㄌㄨㄣ˙
lung ㄌㄨㄥ
lungq ㄌㄨㄥˉ
lungqq ㄌㄨㄥˊ
lungqqq ㄌㄨㄥˇ
lungqqqq ㄌㄨㄥˋ
lungqqqqq ㄌㄨㄥ˙
luo ㄌㄨㄛ
luoq ㄌㄨㄛˉ
luoqq ㄌㄨㄛˊ
luoqqq ㄌㄨㄛˇ
luoqqqq ㄌㄨㄛˋ
luoqqqqq ㄌㄨㄛ˙
lv ㄌㄩ
lvq ㄌㄩˉ
lvqq ㄌㄩˊ
lvqqq ㄌㄩˇ
lvqqqq ㄌㄩˋ
lvqqqqq ㄌㄩ˙
lve ㄌㄩㄝ
lveq ㄌㄩㄝˉ
lveqq ㄌㄩㄝˊ
lveqqq ㄌㄩㄝˇ
lveqqqq ㄌㄩㄝˋ
lveqqqqq ㄌㄩㄝ˙
lvn ㄌㄩㄣ
lvnq ㄌㄩㄣˉ
lvnqq ㄌㄩㄣˊ
lvnqqq ㄌㄩㄣˇ
lvnqqqq ㄌㄩㄣˋ
lvnqqqqq ㄌㄩㄣ˙
lvng ㄌㄩㄥ
lvngq ㄌㄩㄥˉ
lvngqq ㄌㄩㄥˊ
lvngqqq ㄌㄩㄥˇ
lvngqqqq ㄌㄩㄥˋ
lvngqqqqq ㄌㄩㄥ˙
lyu ㄌㄩ
lyuq ㄌㄩˉ
lyuqq ㄌㄩˊ
lyuqqq ㄌㄩˇ
lyuqqqq ㄌㄩˋ
lyuqqqqq ㄌㄩ˙
lyue ㄌㄩㄝ
lyueq ㄌㄩㄝˉ
lyueqq ㄌㄩㄝˊ
lyueqqq ㄌㄩㄝˇ
lyueqqqq ㄌㄩㄝˋ
lyueqqqqq ㄌㄩㄝ˙
lyun ㄌㄩㄣ
lyunq ㄌㄩㄣˉ
lyunqq ㄌㄩㄣˊ
lyunqqq ㄌㄩㄣˇ
lyunqqqq ㄌㄩㄣˋ
lyunqqqqq ㄌㄩㄣ˙
lyung ㄌㄩㄥ
lyungq ㄌㄩㄥˉ
lyungqq ㄌㄩㄥˊ
lyungqqq ㄌㄩㄥˇ
lyungqqqq ㄌㄩㄥˋ
lyungqqqqq ㄌㄩㄥ˙
ma ㄇㄚ
maq ㄇㄚˉ
maqq ㄇㄚˊ
maqqq ㄇㄚˇ
maqqqq ㄇㄚˋ
maqqqqq ㄇㄚ˙
mai ㄇㄞ
maiq ㄇㄞˉ
maiqq ㄇㄞˊ
maiqqq ㄇㄞˇ
maiqqqq ㄇㄞˋ
maiqqqqq ㄇㄞ˙
man ㄇㄢ
manq ㄇㄢˉ
manqq ㄇㄢˊ
manqqq ㄇㄢˇ
manqqqq ㄇㄢˋ
manqqqqq ㄇㄢ˙
mang ㄇㄤ
mangq ㄇㄤˉ
mangqq ㄇㄤˊ
mangqqq ㄇㄤˇ
mangqqqq ㄇㄤˋ
mangqqqqq ㄇㄤ˙
mao ㄇㄠ
maoq ㄇㄠˉ
maoqq ㄇㄠˊ
maoqqq ㄇㄠˇ
maoqqqq ㄇㄠˋ
maoqqqqq ㄇㄠ˙
me ㄇㄜ
meq ㄇㄜˉ
meqq ㄇㄜˊ
meqqq ㄇㄜˇ
meqqqq ㄇㄜˋ
meqqqqq ㄇㄜ˙
mei ㄇㄟ
meiq ㄇㄟˉ
meiqq ㄇㄟˊ
meiqqq ㄇㄟˇ
meiqqqq ㄇㄟˋ
meiqqqqq ㄇㄟ˙
men ㄇㄣ
menq ㄇㄣˉ
menqq ㄇㄣˊ
menqqq ㄇㄣˇ
menqqqq ㄇㄣˋ
menqqqqq ㄇㄣ˙
meng ㄇㄥ
mengq ㄇㄥˉ
mengqq ㄇㄥˊ
mengqqq ㄇㄥˇ
mengqqqq ㄇㄥˋ
mengqqqqq ㄇㄥ˙
mer ㄇㄦ
merq ㄇㄦˉ
merqq ㄇㄦˊ
merqqq ㄇㄦˇ
merqqqq ㄇㄦˋ
merqqqqq ㄇㄦ˙
mi ㄇㄧ
miq ㄇㄧˉ
miqq ㄇㄧˊ
miqqq ㄇㄧˇ
miqqqq ㄇㄧˋ
miqqqqq ㄇㄧ˙
mia ㄇㄧㄚ
miaq ㄇㄧㄚˉ
miaqq ㄇㄧㄚˊ
miaqqq ㄇㄧㄚˇ
miaqqqq ㄇㄧㄚˋ
miaqqqqq ㄇㄧㄚ˙
mian ㄇㄧㄢ
mianq ㄇㄧㄢˉ
mianqq ㄇㄧㄢˊ
mianqqq ㄇㄧㄢˇ
mianqqqq ㄇㄧㄢˋ
mianqqqqq ㄇㄧㄢ˙
miang ㄇㄧㄤ
miangq ㄇㄧㄤˉ
miangqq ㄇㄧㄤˊ
miangqqq ㄇㄧㄤˇ
miangqqqq ㄇㄧㄤˋ
miangqqqqq ㄇㄧㄤ˙
miao ㄇㄧㄠ
miaoq ㄇㄧㄠˉ
miaoqq ㄇㄧㄠˊ
miaoqqq ㄇㄧㄠˇ
miaoqqqq ㄇㄧㄠˋ
miaoqqqqq ㄇㄧㄠ˙
mie ㄇㄧㄝ
mieq ㄇㄧㄝˉ
mieqq ㄇㄧㄝˊ
mieqqq ㄇㄧㄝˇ
mieqqqq ㄇㄧㄝˋ
mieqqqqq ㄇㄧㄝ˙
min ㄇㄧㄣ
minq ㄇㄧㄣˉ
minqq ㄇㄧㄣˊ
minqqq ㄇㄧㄣˇ
minqqqq ㄇㄧㄣˋ
minqqqqq ㄇㄧㄣ˙
ming ㄇㄧㄥ
mingq ㄇㄧㄥˉ
mingqq ㄇㄧㄥˊ
mingqqq ㄇㄧㄥˇ
mingqqqq ㄇㄧㄥˋ
mingqqqqq ㄇㄧㄥ˙
miong ㄇㄩㄥ
miongq ㄇㄩㄥˉ
miongqq ㄇㄩㄥˊ
miongqqq ㄇㄩㄥˇ
miongqqqq ㄇㄩㄥˋ
miongqqqqq ㄇㄩㄥ˙
miou ㄇㄧㄡ
miouq ㄇㄧㄡˉ
miouqq ㄇㄧㄡˊ
miouqqq ㄇㄧㄡˇ
miouqqqq ㄇㄧㄡˋ
miouqqqqq ㄇㄧㄡ˙
miu ㄇㄧㄡ
miuq ㄇㄧㄡˉ
miuqq ㄇㄧㄡˊ
miuqqq ㄇㄧㄡˇ
miuqqqq ㄇㄧㄡˋ
miuqqqqq ㄇㄧㄡ˙
miung ㄇㄩㄥ
miungq ㄇㄩㄥˉ
miungqq ㄇㄩㄥˊ
miungqqq ㄇㄩㄥˇ
miungqqqq ㄇㄩㄥˋ
miungqqqqq ㄇㄩㄥ˙
mo ㄇㄛ
moq ㄇㄛˉ
moqq ㄇㄛˊ
moqqq ㄇㄛˇ
moqqqq ㄇㄛˋ
moqqqqq ㄇㄛ˙
mong ㄇㄨㄥ
mongq ㄇㄨㄥˉ
mongqq ㄇㄨㄥˊ
mongqqq ㄇㄨㄥˇ
mongqqqq ㄇㄨㄥˋ
mongqqqqq ㄇㄨㄥ˙
mou ㄇㄡ
mouq ㄇㄡˉ
mouqq ㄇㄡˊ
mouqqq ㄇㄡˇ
mouqqqq ㄇㄡˋ
mouqqqqq ㄇㄡ˙
mu ㄇㄨ
muq ㄇㄨˉ
muqq ㄇㄨˊ
muqqq ㄇㄨˇ
muqqqq ㄇㄨˋ
muqqqqq ㄇㄨ˙
mua ㄇㄨㄚ
muaq ㄇㄨㄚˉ
muaqq ㄇㄨㄚˊ
muaqqq ㄇㄨㄚˇ
muaqqqq ㄇㄨㄚˋ
muaqqqqq ㄇㄨㄚ˙
muai ㄇㄨㄞ
muaiq ㄇㄨㄞˉ
muaiqq ㄇㄨㄞˊ
muaiqqq ㄇㄨㄞˇ
muaiqqqq ㄇㄨㄞˋ
muaiqqqqq ㄇㄨㄞ˙
muan ㄇㄨㄢ
muanq ㄇㄨㄢˉ
muanqq ㄇㄨㄢˊ
muanqqq ㄇㄨㄢˇ
muanqqqq ㄇㄨㄢˋ
muanqqqqq ㄇㄨㄢ˙
muang ㄇㄨㄤ
muangq ㄇㄨㄤˉ
muangqq ㄇㄨㄤˊ
muangqqq ㄇㄨㄤˇ
muangqqqq ㄇㄨㄤˋ
muangqqqqq ㄇㄨㄤ˙
mui ㄇㄨㄟ
muiq ㄇㄨㄟˉ
muiqq ㄇㄨㄟˊ
muiqqq ㄇㄨㄟˇ
muiqqqq ㄇㄨㄟˋ
muiqqqqq ㄇㄨㄟ˙
mun ㄇㄨㄣ
munq ㄇㄨㄣˉ
munqq ㄇㄨㄣˊ
munqqq ㄇㄨㄣˇ
munqqqq ㄇㄨㄣˋ
munqqqqq ㄇㄨㄣ˙
mung ㄇㄨㄥ
mungq ㄇㄨㄥˉ
mungqq ㄇㄨㄥˊ
mungqqq ㄇㄨㄥˇ
mungqqqq ㄇㄨㄥˋ
mungqqqqq ㄇㄨㄥ˙
muo ㄇㄨㄛ
muoq ㄇㄨㄛˉ
muoqq ㄇㄨㄛˊ
muoqqq ㄇㄨㄛˇ
muoqqqq ㄇㄨㄛˋ
muoqqqqq ㄇㄨㄛ˙
mv ㄇㄩ
mvq ㄇㄩˉ
mvqq ㄇㄩˊ
mvqqq ㄇㄩˇ
mvqqqq ㄇㄩˋ
mvqqqqq ㄇㄩ˙
mve ㄇㄩㄝ
mveq ㄇㄩㄝˉ
mveqq ㄇㄩㄝˊ
mveqqq ㄇㄩㄝˇ
mveqqqq ㄇㄩㄝˋ
mveqqqqq ㄇㄩㄝ˙
mvn ㄇㄩㄣ
mvnq ㄇㄩㄣˉ
mvnqq ㄇㄩㄣˊ
mvnqqq ㄇㄩㄣˇ
mvnqqqq ㄇㄩㄣˋ
mvnqqqqq ㄇㄩㄣ˙
mvng ㄇㄩㄥ
mvngq ㄇㄩㄥˉ
mvngqq ㄇㄩㄥˊ
mvngqqq ㄇㄩㄥˇ
mvngqqqq ㄇㄩㄥˋ
mvngqqqqq ㄇㄩㄥ˙
myu ㄇㄩ
myuq ㄇㄩˉ
myuqq ㄇㄩˊ
myuqqq ㄇㄩˇ
myuqqqq ㄇㄩˋ
myuqqqqq ㄇㄩ˙
myue ㄇㄩㄝ
myueq ㄇㄩㄝˉ
myueqq ㄇㄩㄝˊ
myueqqq ㄇㄩㄝˇ
myueqqqq ㄇㄩㄝˋ
myueqqqqq ㄇㄩㄝ˙
myun ㄇㄩㄣ
myunq ㄇㄩㄣˉ
myunqq ㄇㄩㄣˊ
myunqqq ㄇㄩㄣˇ
myunqqqq ㄇㄩㄣˋ
myunqqqqq ㄇㄩㄣ˙
myung ㄇㄩㄥ
myungq ㄇㄩㄥˉ
myungqq ㄇㄩㄥˊ
myungqqq ㄇㄩㄥˇ
myungqqqq ㄇㄩㄥˋ
myungqqqqq ㄇㄩㄥ˙
na ㄋㄚ
naq ㄋㄚˉ
naqq ㄋㄚˊ
naqqq ㄋㄚˇ
naqqqq ㄋㄚˋ
naqqqqq ㄋㄚ˙
nai ㄋㄞ
naiq ㄋㄞˉ
naiqq ㄋㄞˊ
naiqqq ㄋㄞˇ
naiqqqq ㄋㄞˋ
naiqqqqq ㄋㄞ˙
nan ㄋㄢ
nanq ㄋㄢˉ
nanqq ㄋㄢˊ
nanqqq ㄋㄢˇ
nanqqqq ㄋㄢˋ
nanqqqqq ㄋㄢ˙
nang ㄋㄤ
nangq ㄋㄤˉ
nangqq ㄋㄤˊ
nangqqq ㄋㄤˇ
nangqqqq ㄋㄤˋ
nangqqqqq ㄋㄤ˙
nao ㄋㄠ
naoq ㄋㄠˉ
naoqq ㄋㄠˊ
naoqqq ㄋㄠˇ
naoqqqq ㄋㄠˋ
naoqqqqq ㄋㄠ˙
ne ㄋㄜ
neq ㄋㄜˉ
neqq ㄋㄜˊ
neqqq ㄋㄜˇ
neqqqq ㄋㄜˋ
neqqqqq ㄋㄜ˙
nei ㄋㄟ
neiq ㄋㄟˉ
neiqq ㄋㄟˊ
neiqqq ㄋㄟˇ
neiqqqq ㄋㄟˋ
neiqqqqq ㄋㄟ˙
nen ㄋㄣ
nenq ㄋㄣˉ
nenqq ㄋㄣˊ
nenqqq ㄋㄣˇ
nenqqqq ㄋㄣˋ
nenqqqqq ㄋㄣ˙
neng ㄋㄥ
nengq ㄋㄥˉ
nengqq ㄋㄥˊ
nengqqq ㄋㄥˇ
nengqqqq ㄋㄥˋ
nengqqqqq ㄋㄥ˙
ner ㄋㄦ
nerq ㄋㄦˉ
nerqq ㄋㄦˊ
nerqqq ㄋㄦˇ
nerqqqq ㄋㄦˋ
nerqqqqq ㄋㄦ˙
ni ㄋㄧ
niq ㄋㄧˉ
niqq ㄋㄧˊ
niqqq ㄋㄧˇ
niqqqq ㄋㄧˋ
niqqqqq ㄋㄧ˙
nia ㄋㄧㄚ
niaq ㄋㄧㄚˉ
niaqq ㄋㄧㄚˊ
niaqqq ㄋㄧㄚˇ
niaqqqq ㄋㄧㄚˋ
niaqqqqq ㄋㄧㄚ˙
nian ㄋㄧㄢ
nianq ㄋㄧㄢˉ
nianqq ㄋㄧㄢˊ
nianqqq ㄋㄧㄢˇ
nianqqqq ㄋㄧㄢˋ
nianqqqqq ㄋㄧㄢ˙
niang ㄋㄧㄤ
niangq ㄋㄧㄤˉ
niangqq ㄋㄧㄤˊ
niangqqq ㄋㄧㄤˇ
niangqqqq ㄋㄧㄤˋ
niangqqqqq ㄋㄧㄤ˙
niao ㄋㄧㄠ
niaoq ㄋㄧㄠˉ
niaoqq ㄋㄧㄠˊ
niaoqqq ㄋㄧㄠˇ
niaoqqqq ㄋㄧㄠˋ
niaoqqqqq ㄋㄧㄠ˙
nie ㄋㄧㄝ
nieq ㄋㄧㄝˉ
nieqq ㄋㄧㄝˊ
nieqqq ㄋㄧㄝˇ
nieqqqq ㄋㄧㄝˋ
nieqqqqq ㄋㄧㄝ˙
nin ㄋㄧㄣ
ninq ㄋㄧㄣˉ
ninqq ㄋㄧㄣˊ
ninqqq ㄋㄧㄣˇ
ninqqqq ㄋㄧㄣˋ
ninqqqqq ㄋㄧㄣ˙
ning ㄋㄧㄥ
ningq ㄋㄧㄥˉ
ningqq ㄋㄧㄥˊ
ningqqq ㄋㄧㄥˇ
ningqqqq ㄋㄧㄥˋ
ningqqqqq ㄋㄧㄥ˙
niong ㄋㄩㄥ
niongq ㄋㄩㄥˉ
niongqq ㄋㄩㄥˊ
niongqqq ㄋㄩㄥˇ
niongqqqq ㄋㄩㄥˋ
niongqqqqq ㄋㄩㄥ˙
niou ㄋㄧㄡ
niouq ㄋㄧㄡˉ
niouqq ㄋㄧㄡˊ
niouqqq ㄋㄧㄡˇ
niouqqqq ㄋㄧㄡˋ
niouqqqqq ㄋㄧㄡ˙
niu ㄋㄧㄡ
niuq ㄋㄧㄡˉ
niuqq ㄋㄧㄡˊ
niuqqq ㄋㄧㄡˇ
niuqqqq ㄋㄧㄡˋ
niuqqqqq ㄋㄧㄡ˙
niung ㄋㄩㄥ
niungq ㄋㄩㄥˉ
niungqq ㄋㄩㄥˊ
niungqqq ㄋㄩㄥˇ
niungqqqq ㄋㄩㄥˋ
niungqqqqq ㄋㄩㄥ˙
no ㄋㄛ
noq ㄋㄛˉ
noqq ㄋㄛˊ
noqqq ㄋㄛˇ
noqqqq ㄋㄛˋ
noqqqqq ㄋㄛ˙
nong ㄋㄨㄥ
nongq ㄋㄨㄥˉ
nongqq ㄋㄨㄥˊ
nongqqq ㄋㄨㄥˇ
nongqqqq ㄋㄨㄥˋ
nongqqqqq ㄋㄨㄥ˙
nou ㄋㄡ
nouq ㄋㄡˉ
nouqq ㄋㄡˊ
nouqqq ㄋㄡˇ
nouqqqq ㄋㄡˋ
nouqqqqq ㄋㄡ˙
nu ㄋㄨ
nuq ㄋㄨˉ
nuqq ㄋㄨˊ
nuqqq ㄋㄨˇ
nuqqqq ㄋㄨˋ
nuqqqqq ㄋㄨ˙
nua ㄋㄨㄚ
nuaq ㄋㄨㄚˉ
nuaqq ㄋㄨㄚˊ
nuaqqq ㄋㄨㄚˇ
nuaqqqq ㄋㄨㄚˋ
nuaqqqqq ㄋㄨㄚ˙
nuai ㄋㄨㄞ
nuaiq ㄋㄨㄞˉ
nuaiqq ㄋㄨㄞˊ
nuaiqqq ㄋㄨㄞˇ
nuaiqqqq ㄋㄨㄞˋ
nuaiqqqqq ㄋㄨㄞ˙
nuan ㄋㄨㄢ
nuanq ㄋㄨㄢˉ
nuanqq ㄋㄨㄢˊ
nuanqqq ㄋㄨㄢˇ
nuanqqqq ㄋㄨㄢˋ
nuanqqqqq ㄋㄨㄢ˙
nuang ㄋㄨㄤ
nuangq ㄋㄨㄤˉ
nuangqq ㄋㄨㄤˊ
nuangqqq ㄋㄨㄤˇ
nuangqqqq ㄋㄨㄤˋ
nuangqqqqq ㄋㄨㄤ˙
nue ㄋㄩㄝ
nueq ㄋㄩㄝˉ
nueqq ㄋㄩㄝˊ
nueqqq ㄋㄩㄝˇ
nueqqqq ㄋㄩㄝˋ
nueqqqqq ㄋㄩㄝ˙
nui ㄋㄨㄟ
nuiq ㄋㄨㄟˉ
nuiqq ㄋㄨㄟˊ
nuiqqq ㄋㄨㄟˇ
nuiqqqq ㄋㄨㄟˋ
nuiqqqqq ㄋㄨㄟ˙
nun ㄋㄨㄣ
nunq ㄋㄨㄣˉ
nunqq ㄋㄨㄣˊ
nunqqq ㄋㄨㄣˇ
nunqqqq ㄋㄨㄣˋ
nunqqqqq ㄋㄨㄣ˙
nung ㄋㄨㄥ
nungq ㄋㄨㄥˉ
nungqq ㄋㄨㄥˊ
nungqqq ㄋㄨㄥˇ
nungqqqq ㄋㄨㄥˋ
nungqqqqq ㄋㄨㄥ˙
nuo ㄋㄨㄛ
nuoq ㄋㄨㄛˉ
nuoqq ㄋㄨㄛˊ
nuoqqq ㄋㄨㄛˇ
nuoqqqq ㄋㄨㄛˋ
nuoqqqqq ㄋㄨㄛ˙
nv ㄋㄩ
nvq ㄋㄩˉ
nvqq ㄋㄩˊ
nvqqq ㄋㄩˇ
nvqqqq ㄋㄩˋ
nvqqqqq ㄋㄩ˙
nve ㄋㄩㄝ
nveq ㄋㄩㄝˉ
nveqq ㄋㄩㄝˊ
nveqqq ㄋㄩㄝˇ
nveqqqq ㄋㄩㄝˋ
nveqqqqq ㄋㄩㄝ˙
nvn ㄋㄩㄣ
nvnq ㄋㄩㄣˉ
nvnqq ㄋㄩㄣˊ
nvnqqq ㄋㄩㄣˇ
nvnqqqq ㄋㄩㄣˋ
nvnqqqqq ㄋㄩㄣ˙
nvng ㄋㄩㄥ
nvngq ㄋㄩㄥˉ
nvngqq ㄋㄩㄥˊ
nvngqqq ㄋㄩㄥˇ
nvngqqqq ㄋㄩㄥˋ
nvngqqqqq ㄋㄩㄥ˙
nyu ㄋㄩ
nyuq ㄋㄩˉ
nyuqq ㄋㄩˊ
nyuqqq ㄋㄩˇ
nyuqqqq ㄋㄩˋ
nyuqqqqq ㄋㄩ˙
nyue ㄋㄩㄝ
nyueq ㄋㄩㄝˉ
nyueqq ㄋㄩㄝˊ
nyueqqq ㄋㄩㄝˇ
nyueqqqq ㄋㄩㄝˋ
nyueqqqqq ㄋㄩㄝ˙
nyun ㄋㄩㄣ
nyunq ㄋㄩㄣˉ
nyunqq ㄋㄩㄣˊ
nyunqqq ㄋㄩㄣˇ
nyunqqqq ㄋㄩㄣˋ
nyunqqqqq ㄋㄩㄣ˙
nyung ㄋㄩㄥ
nyungq ㄋㄩㄥˉ
nyungqq ㄋㄩㄥˊ
nyungqqq ㄋㄩㄥˇ
nyungqqqq ㄋㄩㄥˋ
nyungqqqqq ㄋㄩㄥ˙
o ㄛ
oq ㄛˉ
oqq ㄛˊ
oqqq ㄛˇ
oqqqq ㄛˋ
oqqqqq ㄛ˙
ong ㄨㄥ
ongq ㄨㄥˉ
ongqq ㄨㄥˊ
ongqqq ㄨㄥˇ
ongqqqq ㄨㄥˋ
ongqqqqq ㄨㄥ˙
ou ㄡ
ouq ㄡˉ
ouqq ㄡˊ
ouqqq ㄡˇ
ouqqqq ㄡˋ
ouqqqqq ㄡ˙
pa ㄆㄚ
paq ㄆㄚˉ
paqq ㄆㄚˊ
paqqq ㄆㄚˇ
paqqqq ㄆㄚˋ
paqqqqq ㄆㄚ˙
pai ㄆㄞ
paiq ㄆㄞˉ
paiqq ㄆㄞˊ
paiqqq ㄆㄞˇ
paiqqqq ㄆㄞˋ
paiqqqqq ㄆㄞ˙
pan ㄆㄢ
panq ㄆㄢˉ
panqq ㄆㄢˊ
panqqq ㄆㄢˇ
panqqqq ㄆㄢˋ
panqqqqq ㄆㄢ˙
pang ㄆㄤ
pangq ㄆㄤˉ
pangqq ㄆㄤˊ
pangqqq ㄆㄤˇ
pangqqqq ㄆㄤˋ
pangqqqqq ㄆㄤ˙
pao ㄆㄠ
paoq ㄆㄠˉ
paoqq ㄆㄠˊ
paoqqq ㄆㄠˇ
paoqqqq ㄆㄠˋ
paoqqqqq ㄆㄠ˙
pe ㄆㄜ
peq ㄆㄜˉ
peqq ㄆㄜˊ
peqqq ㄆㄜˇ
peqqqq ㄆㄜˋ
peqqqqq ㄆㄜ˙
pei ㄆㄟ
peiq ㄆㄟˉ
peiqq ㄆㄟˊ
peiqqq ㄆㄟˇ
peiqqqq ㄆㄟˋ
peiqqqqq ㄆㄟ˙
pen ㄆㄣ
penq ㄆㄣˉ
penqq ㄆㄣˊ
penqqq ㄆㄣˇ
penqqqq ㄆㄣˋ
penqqqqq ㄆㄣ˙
peng ㄆㄥ
pengq ㄆㄥˉ
pengqq ㄆㄥˊ
pengqqq ㄆㄥˇ
pengqqqq ㄆㄥˋ
pengqqqqq ㄆㄥ˙
per ㄆㄦ
perq ㄆㄦˉ
perqq ㄆㄦˊ
perqqq ㄆㄦˇ
perqqqq ㄆㄦˋ
perqqqqq ㄆㄦ˙
pi ㄆㄧ
piq ㄆㄧˉ
piqq ㄆㄧˊ
piqqq ㄆㄧˇ
piqqqq ㄆㄧˋ
piqqqqq ㄆㄧ˙
pia ㄆㄧㄚ
piaq ㄆㄧㄚˉ
piaqq ㄆㄧㄚˊ
piaqqq ㄆㄧㄚˇ
piaqqqq ㄆㄧㄚˋ
piaqqqqq ㄆㄧㄚ˙
pian ㄆㄧㄢ
pianq ㄆㄧㄢˉ
pianqq ㄆㄧㄢˊ
pianqqq ㄆㄧㄢˇ
pianqqqq ㄆㄧㄢˋ
pianqqqqq ㄆㄧㄢ˙
piang ㄆㄧㄤ
piangq ㄆㄧㄤˉ
piangqq ㄆㄧㄤˊ
piangqqq ㄆㄧㄤˇ
piangqqqq ㄆㄧㄤˋ
piangqqqqq ㄆㄧㄤ˙
piao ㄆㄧㄠ
piaoq ㄆㄧㄠˉ
piaoqq ㄆㄧㄠˊ
piaoqqq ㄆㄧㄠˇ
piaoqqqq ㄆㄧㄠˋ
